T;VF;Tr;l_tpb;E;i;Cd
800;0.3;2;5;1.0312525256907428;0.15;32.31442520157078
800;0.3;2;5;1.0312525256907428;0.18;41.98393507286159
800;0.3;2;5;1.0312525256907428;0.21;53.64891729449194
800;0.3;2;5;1.0312525256907428;0.24;67.86380177995294
800;0.3;2;5;1.0312525256907428;0.27;85.3042138346092
800;0.3;2;5;1.0312525256907428;0.3;106.79908623889672
800;0.3;2;6;0.9414004513416594;0.0;0.0
800;0.3;2;6;0.9414004513416594;0.03;6.200042039302242
800;0.3;2;6;0.9414004513416594;0.06;12.694768520139062
800;0.3;2;6;0.9414004513416594;0.09;19.792870066508332
800;0.3;2;6;0.9414004513416594;0.12;27.831715373152477
